municipio_codigo,municipio,zona,eleccion,corporacion,vuelta,circunscripcion,cand_total,hhi,n_unidades,ganador,votos_ganador,segundo,votos_segundo,blancos,nulos,no_marcados,validos,total_marcas,margen_abs,margen_pp,top1_pp,blanco_pp,nep,fragmentacion
001,CALI,08,Presidencia 2026,Presidencia,2V,0,32297.0,0.5696363421449268,2,IVÁN CEPEDA CASTRO,22175.0,ABELARDO DE LA ESPRIELLA,10122.0,491.0,209.0,17.0,32788.0,33014.0,12053.0,36.76040014639502,67.63145053068196,1.497499085031109,1.755505971115832,0.43036365785507324
001,CALI,09,Congreso 2026,Consultas,NA,0,2947.0,0.5917464621271463,3,LA GRAN CONSULTA POR COLOMBIA,2200.0,FRENTE POR LA VIDA,474.0,0.0,485.0,260.0,2947.0,3692.0,1726.0,58.56803529012555,74.65218866644044,0.0,1.6899129340043841,0.4082535378728537
001,CALI,09,Congreso 2026,Cámara,NA,1,16602.0,0.2928736246909059,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,8476.0,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,1388.0,468.0,473.0,202.0,17070.0,17745.0,7088.0,41.523140011716464,49.654364381956654,2.741652021089631,3.414441983484801,0.7071263753090942
001,CALI,09,Congreso 2026,Cámara,NA,4,30.0,0.27111111111111114,7,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",14.0,FUERZA ANCESTRAL,4.0,52.0,1.0,11.0,82.0,94.0,10.0,12.195121951219512,17.073170731707318,63.41463414634146,3.6885245901639343,0.7288888888888889
001,CALI,09,Congreso 2026,Cámara,NA,5,486.0,0.19930058087351182,35,CONSEJO COMUNITARIO EL NARANJO,198.0,CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE LIMONES,46.0,169.0,94.0,39.0,655.0,788.0,152.0,23.206106870229007,30.229007633587784,25.80152671755725,5.017546841143731,0.8006994191264882
001,CALI,09,Congreso 2026,Senado,NA,0,17221.0,0.3042173412413459,16,PACTO HISTÓRICO SENADO,9047.0,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,1357.0,560.0,460.0,327.0,17781.0,18568.0,7690.0,43.24841122546538,50.88015297227378,3.1494291659636695,3.2871235936766214,0.6957826587586541
001,CALI,09,Congreso 2026,Senado,NA,4,38.0,0.1966759002770083,8,ASOCIACIÓN DE AUTORIDADES TRADICIONALES INDÍGENAS,11.0,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",10.0,40.0,10.0,8.0,78.0,96.0,1.0,1.282051282051282,14.102564102564102,51.28205128205128,5.084507042253522,0.8033240997229917
001,CALI,09,Presidencia 2026,Presidencia,1V,0,22025.0,0.5090076950529593,11,IVÁN CEPEDA CASTRO,14698.0,ABELARDO DE LA ESPRIELLA,5440.0,427.0,258.0,62.0,22452.0,22772.0,9258.0,41.234633885622664,65.46410119365757,1.901835025832888,1.9646068413483528,0.4909923049470407
001,CALI,09,Presidencia 2026,Presidencia,2V,0,24411.0,0.6075776065303751,2,IVÁN CEPEDA CASTRO,17867.0,ABELARDO DE LA ESPRIELLA,6544.0,313.0,163.0,29.0,24724.0,24916.0,11323.0,45.79760556544248,72.26581459310792,1.2659763792266623,1.6458802780941635,0.39242239346962493
001,CALI,10,Congreso 2026,Consultas,NA,0,3015.0,0.5952947259281262,3,LA GRAN CONSULTA POR COLOMBIA,2263.0,FRENTE POR LA VIDA,437.0,0.0,458.0,267.0,3015.0,3740.0,1826.0,60.56384742951907,75.05804311774462,0.0,1.6798401807455903,0.40470527407187384
001,CALI,10,Congreso 2026,Cámara,NA,1,12081.0,0.26720595476162645,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,5786.0,PARTIDO CENTRO DEMOCRÁTICO,1248.0,340.0,273.0,145.0,12421.0,12839.0,4538.0,36.534900571612596,46.58240077288463,2.7372997343209082,3.7424315670363586,0.7327940452383735
001,CALI,10,Congreso 2026,Cámara,NA,4,17.0,0.1903114186851211,6,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",4.0,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,4.0,13.0,2.0,3.0,30.0,35.0,0.0,0.0,13.333333333333334,43.333333333333336,5.254545454545455,0.8096885813148789
001,CALI,10,Congreso 2026,Cámara,NA,5,326.0,0.18107568971357596,28,CONSEJO COMUNITARIO EL NARANJO,125.0,CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS CUENCA RÍO OVEJAS,34.0,57.0,24.0,26.0,383.0,433.0,91.0,23.759791122715406,32.637075718015666,14.882506527415144,5.522552483891083,0.8189243102864241
001,CALI,10,Congreso 2026,Senado,NA,0,12526.0,0.2663510385385465,16,PACTO HISTÓRICO SENADO,6037.0,PARTIDO CENTRO DEMOCRÁTICO,1195.0,372.0,240.0,209.0,12898.0,13347.0,4842.0,37.54070398511397,46.80570631105598,2.8841680880756706,3.754443780234329,0.7336489614614534
001,CALI,10,Congreso 2026,Senado,NA,4,13.0,0.20710059171597636,6,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",4.0,ASOCIACIÓN DE AUTORIDADES TRADICIONALES INDÍGENAS,3.0,33.0,7.0,7.0,46.0,60.0,1.0,2.1739130434782608,8.695652173913043,71.73913043478261,4.828571428571428,0.7928994082840236
