territorio_nombre,unidad,votos_1v,votos_2v,delta_abs,val_1V,val_2V,pp_1v,pp_2v,delta_pp
Comuna 3,IVÁN CEPEDA CASTRO,9644,11716,2072,21157,22621,45.583022167604106,51.792582113964905,6.209559946360798
Comuna 3,MIGUEL URIBE LONDOÑO,16,0,-16,21157,22621,0.07562508862315073,0.0,-0.07562508862315073
Comuna 3,PALOMA VALENCIA LASERNA,1314,0,-1314,21157,22621,6.210710403176254,0.0,-6.210710403176254
Comuna 3,RAÚL SANTIAGO BOTERO JARAMILLO,82,0,-82,21157,22621,0.38757857919364747,0.0,-0.38757857919364747
Comuna 3,ROY LEONARDO BARRERAS MONTEALEGRE,9,0,-9,21157,22621,0.04253911235052229,0.0,-0.04253911235052229
Comuna 3,SERGIO FAJARDO VALDERRAMA,821,0,-821,21157,22621,3.8805123599754214,0.0,-3.8805123599754214
Comuna 3,SONDRA MACOLLINS GARVIN PINTO,12,0,-12,21157,22621,0.05671881646736305,0.0,-0.05671881646736305
Comuna 3,VOTO EN BLANCO,338,356,18,21157,22621,1.5975799971640594,1.573758896600504,-0.023821100563555353
Comuna 3,ÓSCAR MAURICIO LIZCANO ARANGO,21,0,-21,21157,22621,0.09925792881788534,0.0,-0.09925792881788534
Comuna 4,ABELARDO DE LA ESPRIELLA,11297,13463,2166,32620,35042,34.63212752912324,38.41961075281091,3.7874832236876728
Comuna 4,CLAUDIA LÓPEZ,223,0,-223,32620,35042,0.683629675045984,0.0,-0.683629675045984
Comuna 4,GUSTAVO MATAMOROS CAMACHO,5,0,-5,32620,35042,0.015328019619865112,0.0,-0.015328019619865112
Comuna 4,IVÁN CEPEDA CASTRO,17072,21033,3961,32620,35042,52.33599019006744,60.02225900348154,7.686268813414095
Comuna 4,MIGUEL URIBE LONDOÑO,32,0,-32,32620,35042,0.09809932556713671,0.0,-0.09809932556713671
Comuna 4,PALOMA VALENCIA LASERNA,1657,0,-1657,32620,35042,5.079705702023299,0.0,-5.079705702023299
Comuna 4,RAÚL SANTIAGO BOTERO JARAMILLO,166,0,-166,32620,35042,0.5088902513795217,0.0,-0.5088902513795217
Comuna 4,ROY LEONARDO BARRERAS MONTEALEGRE,19,0,-19,32620,35042,0.05824647455548743,0.0,-0.05824647455548743
Comuna 4,SERGIO FAJARDO VALDERRAMA,1491,0,-1491,32620,35042,4.570815450643777,0.0,-4.570815450643777
