municipio_codigo,municipio,zona,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
001,CALI,02,Congreso 2026,Cámara,NA,5,CONSEJO LABORAL AFROCOLOMBIANO CLAF - BOGOTÁ,2,804,235.0,1039.0,0.192492781520693
001,CALI,02,Congreso 2026,Cámara,NA,5,CRISTIANOS POR COLOMBIA AFROS,1,804,235.0,1039.0,0.0962463907603465
001,CALI,02,Congreso 2026,Cámara,NA,5,"EXPRESIÓN AFRO, AMBIENTAL Y CULTURAL COLOMBIA CON DIGNIDAD",14,804,235.0,1039.0,1.3474494706448508
001,CALI,02,Congreso 2026,Cámara,NA,5,FUNDACIÓN ARTÍSTICA CULTURAL SALSA Y RUMBA,2,804,235.0,1039.0,0.192492781520693
001,CALI,02,Congreso 2026,Cámara,NA,5,"FUNDACIÓN ECOLÓGICA, RURAL Y URBANA DEL PACÍFICO ""FUNERPA""",1,804,235.0,1039.0,0.0962463907603465
001,CALI,02,Congreso 2026,Cámara,NA,5,FUNDACIÓN ORSUBA,11,804,235.0,1039.0,1.0587102983638113
001,CALI,02,Congreso 2026,Cámara,NA,5,"FUNDACIÓN SEMILLAS PARA UNA VIDA DIGNA ""FUSEMVID""",1,804,235.0,1039.0,0.0962463907603465
001,CALI,02,Congreso 2026,Cámara,NA,5,PARTIDO DEMÓCRATA COLOMBIANO,1,804,235.0,1039.0,0.0962463907603465
001,CALI,02,Congreso 2026,Cámara,NA,5,PARTIDO ECOLOGISTA COLOMBIANO,22,804,235.0,1039.0,2.1174205967276225
001,CALI,02,Congreso 2026,Cámara,NA,5,TODO ES POSIBLE,3,804,235.0,1039.0,0.28873917228103946
001,CALI,02,Congreso 2026,Senado,NA,0,AHORA COLOMBIA,1878,30392,730.0,31122.0,6.03431656063235
001,CALI,02,Congreso 2026,Senado,NA,0,ALIANZA POR COLOMBIA,2134,30392,730.0,31122.0,6.856885804254226
001,CALI,02,Congreso 2026,Senado,NA,0,COALICIÓN CAMBIO RADICAL - ALMA,1351,30392,730.0,31122.0,4.340980656770131
001,CALI,02,Congreso 2026,Senado,NA,0,COALICIÓN FUERZA CIUDADANA,70,30392,730.0,31122.0,0.22492127755285649
001,CALI,02,Congreso 2026,Senado,NA,0,COLOMBIA SEGURA Y PRÓSPERA,7,30392,730.0,31122.0,0.02249212775528565
001,CALI,02,Congreso 2026,Senado,NA,0,CREEMOS,67,30392,730.0,31122.0,0.21528179422916266
001,CALI,02,Congreso 2026,Senado,NA,0,FRENTE AMPLIO UNITARIO,369,30392,730.0,31122.0,1.1856564488143435
001,CALI,02,Congreso 2026,Senado,NA,0,LA LISTA DE OVIEDO - CON TODA POR COLOMBIA,143,30392,730.0,31122.0,0.4594820384294068
001,CALI,02,Congreso 2026,Senado,NA,0,MOVIMIENTO SALVACIÓN NACIONAL,2687,30392,730.0,31122.0,8.633763896921792
001,CALI,02,Congreso 2026,Senado,NA,0,PACTO HISTÓRICO SENADO,8145,30392,730.0,31122.0,26.171197223828802
001,CALI,02,Congreso 2026,Senado,NA,0,PARTIDO CENTRO DEMOCRÁTICO,9485,30392,730.0,31122.0,30.476833108412055
001,CALI,02,Congreso 2026,Senado,NA,0,PARTIDO CONSERVADOR COLOMBIANO,727,30392,730.0,31122.0,2.3359681254418097
001,CALI,02,Congreso 2026,Senado,NA,0,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,1734,30392,730.0,31122.0,5.571621361095045
001,CALI,02,Congreso 2026,Senado,NA,0,PARTIDO LIBERAL COLOMBIANO,1544,30392,730.0,31122.0,4.961120750594435
001,CALI,02,Congreso 2026,Senado,NA,0,PARTIDO POLÍTICO OXÍGENO,38,30392,730.0,31122.0,0.1221001221001221
001,CALI,02,Congreso 2026,Senado,NA,0,PATRIOTAS,13,30392,730.0,31122.0,0.04177109440267335
001,CALI,02,Congreso 2026,Senado,NA,4,ACMIZSAM,1,55,32.0,87.0,1.1494252873563218
001,CALI,02,Congreso 2026,Senado,NA,4,ASOCIACIÓN DE AUTORIDADES TRADICIONALES INDÍGENAS,7,55,32.0,87.0,8.045977011494253
001,CALI,02,Congreso 2026,Senado,NA,4,ASOCIACIÓN DE CABILDOS INDÍGENAS POR COLOMBIA,2,55,32.0,87.0,2.2988505747126435
001,CALI,02,Congreso 2026,Senado,NA,4,"ASOCIACIÓN NACIONAL INDÍGENA DE COLOMBIA ""ANIC""",2,55,32.0,87.0,2.2988505747126435
001,CALI,02,Congreso 2026,Senado,NA,4,CABILDO INDÉGENA TEVIS,2,55,32.0,87.0,2.2988505747126435
001,CALI,02,Congreso 2026,Senado,NA,4,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",10,55,32.0,87.0,11.494252873563218
001,CALI,02,Congreso 2026,Senado,NA,4,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",17,55,32.0,87.0,19.54022988505747
001,CALI,02,Congreso 2026,Senado,NA,4,MOVIMIENTO SI,1,55,32.0,87.0,1.1494252873563218
001,CALI,02,Congreso 2026,Senado,NA,4,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,12,55,32.0,87.0,13.793103448275861
001,CALI,02,Congreso 2026,Senado,NA,4,TRIETNICO GOBERNATIVO TRIGO,1,55,32.0,87.0,1.1494252873563218
001,CALI,02,Presidencia 2026,Presidencia,1V,0,ABELARDO DE LA ESPRIELLA,20008,39052,569.0,39621.0,50.49847303197799
001,CALI,02,Presidencia 2026,Presidencia,1V,0,CLAUDIA LÓPEZ,172,39052,569.0,39621.0,0.43411322278589637
001,CALI,02,Presidencia 2026,Presidencia,1V,0,GUSTAVO MATAMOROS CAMACHO,2,39052,569.0,39621.0,0.005047828171929028
001,CALI,02,Presidencia 2026,Presidencia,1V,0,IVÁN CEPEDA CASTRO,13814,39052,569.0,39621.0,34.86534918351379
001,CALI,02,Presidencia 2026,Presidencia,1V,0,MIGUEL URIBE LONDOÑO,8,39052,569.0,39621.0,0.020191312687716113
001,CALI,02,Presidencia 2026,Presidencia,1V,0,PALOMA VALENCIA LASERNA,2617,39052,569.0,39621.0,6.605083162969133
