territorio_nombre,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
Corregimiento Pance,Congreso 2026,Senado,NA,4,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",2,17,4.0,21.0,9.523809523809524
Corregimiento Pance,Congreso 2026,Senado,NA,4,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",8,17,4.0,21.0,38.095238095238095
Corregimiento Pance,Congreso 2026,Senado,NA,4,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,6,17,4.0,21.0,28.57142857142857
Corregimiento Pance,Presidencia 2026,Presidencia,1V,0,ABELARDO DE LA ESPRIELLA,1676,2755,33.0,2788.0,60.11477761836442
Corregimiento Pance,Presidencia 2026,Presidencia,1V,0,CLAUDIA LÓPEZ,12,2755,33.0,2788.0,0.430416068866571
Corregimiento Pance,Presidencia 2026,Presidencia,1V,0,IVÁN CEPEDA CASTRO,718,2755,33.0,2788.0,25.753228120516496
Corregimiento Pance,Presidencia 2026,Presidencia,1V,0,MIGUEL URIBE LONDOÑO,2,2755,33.0,2788.0,0.07173601147776185
Corregimiento Pance,Presidencia 2026,Presidencia,1V,0,PALOMA VALENCIA LASERNA,211,2755,33.0,2788.0,7.568149210903874
Corregimiento Pance,Presidencia 2026,Presidencia,1V,0,RAÚL SANTIAGO BOTERO JARAMILLO,8,2755,33.0,2788.0,0.2869440459110474
Corregimiento Pance,Presidencia 2026,Presidencia,1V,0,SERGIO FAJARDO VALDERRAMA,124,2755,33.0,2788.0,4.447632711621234
Corregimiento Pance,Presidencia 2026,Presidencia,1V,0,SONDRA MACOLLINS GARVIN PINTO,1,2755,33.0,2788.0,0.03586800573888092
Corregimiento Pance,Presidencia 2026,Presidencia,1V,0,ÓSCAR MAURICIO LIZCANO ARANGO,3,2755,33.0,2788.0,0.10760401721664276
Corregimiento Pance,Presidencia 2026,Presidencia,2V,0,ABELARDO DE LA ESPRIELLA,1927,2815,54.0,2869.0,67.16626002091321
Corregimiento Pance,Presidencia 2026,Presidencia,2V,0,IVÁN CEPEDA CASTRO,888,2815,54.0,2869.0,30.951551063088186
Corregimiento Pichinde,Congreso 2026,Consultas,NA,0,"CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN",9,119,0.0,119.0,7.563025210084033
Corregimiento Pichinde,Congreso 2026,Consultas,NA,0,FRENTE POR LA VIDA,11,119,0.0,119.0,9.243697478991598
Corregimiento Pichinde,Congreso 2026,Consultas,NA,0,LA GRAN CONSULTA POR COLOMBIA,99,119,0.0,119.0,83.19327731092437
Corregimiento Pichinde,Congreso 2026,Cámara,NA,1,AHORA COLOMBIA,14,374,7.0,381.0,3.674540682414698
Corregimiento Pichinde,Congreso 2026,Cámara,NA,1,COALICIÓN FUERZA CIUDADANA,2,374,7.0,381.0,0.5249343832020997
Corregimiento Pichinde,Congreso 2026,Cámara,NA,1,COALICIÓN LIBERAL - COLOMBIA RENACIENTE,16,374,7.0,381.0,4.199475065616798
Corregimiento Pichinde,Congreso 2026,Cámara,NA,1,CR-CJL-LIGA DE GOBERNANTES,19,374,7.0,381.0,4.986876640419948
Corregimiento Pichinde,Congreso 2026,Cámara,NA,1,FRENTE AMPLIO UNITARIO,2,374,7.0,381.0,0.5249343832020997
Corregimiento Pichinde,Congreso 2026,Cámara,NA,1,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,165,374,7.0,381.0,43.30708661417323
Corregimiento Pichinde,Congreso 2026,Cámara,NA,1,MOVIMIENTO SALVACIÓN NACIONAL,4,374,7.0,381.0,1.0498687664041995
Corregimiento Pichinde,Congreso 2026,Cámara,NA,1,PARTIDO ALIANZA VERDE,6,374,7.0,381.0,1.574803149606299
Corregimiento Pichinde,Congreso 2026,Cámara,NA,1,PARTIDO CENTRO DEMOCRÁTICO,50,374,7.0,381.0,13.123359580052494
Corregimiento Pichinde,Congreso 2026,Cámara,NA,1,PARTIDO CONSERVADOR COLOMBIANO,11,374,7.0,381.0,2.8871391076115485
Corregimiento Pichinde,Congreso 2026,Cámara,NA,1,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,84,374,7.0,381.0,22.04724409448819
Corregimiento Pichinde,Congreso 2026,Cámara,NA,1,PARTIDO POLÍTICO OXÍGENO,1,374,7.0,381.0,0.26246719160104987
Corregimiento Pichinde,Congreso 2026,Cámara,NA,4,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,3,3,0.0,3.0,100.0
Corregimiento Pichinde,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,5,5,4.0,9.0,55.55555555555556
Corregimiento Pichinde,Congreso 2026,Senado,NA,0,AHORA COLOMBIA,10,373,10.0,383.0,2.610966057441253
Corregimiento Pichinde,Congreso 2026,Senado,NA,0,ALIANZA POR COLOMBIA,18,373,10.0,383.0,4.699738903394255
Corregimiento Pichinde,Congreso 2026,Senado,NA,0,COALICIÓN CAMBIO RADICAL - ALMA,12,373,10.0,383.0,3.1331592689295036
Corregimiento Pichinde,Congreso 2026,Senado,NA,0,COALICIÓN FUERZA CIUDADANA,1,373,10.0,383.0,0.26109660574412535
Corregimiento Pichinde,Congreso 2026,Senado,NA,0,FRENTE AMPLIO UNITARIO,1,373,10.0,383.0,0.26109660574412535
Corregimiento Pichinde,Congreso 2026,Senado,NA,0,MOVIMIENTO SALVACIÓN NACIONAL,6,373,10.0,383.0,1.5665796344647518
Corregimiento Pichinde,Congreso 2026,Senado,NA,0,PACTO HISTÓRICO SENADO,170,373,10.0,383.0,44.38642297650131
Corregimiento Pichinde,Congreso 2026,Senado,NA,0,PARTIDO CENTRO DEMOCRÁTICO,57,373,10.0,383.0,14.882506527415144
Corregimiento Pichinde,Congreso 2026,Senado,NA,0,PARTIDO CONSERVADOR COLOMBIANO,9,373,10.0,383.0,2.3498694516971277
Corregimiento Pichinde,Congreso 2026,Senado,NA,0,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,85,373,10.0,383.0,22.193211488250654
Corregimiento Pichinde,Congreso 2026,Senado,NA,0,PARTIDO LIBERAL COLOMBIANO,2,373,10.0,383.0,0.5221932114882507
Corregimiento Pichinde,Congreso 2026,Senado,NA,0,PARTIDO POLÍTICO OXÍGENO,1,373,10.0,383.0,0.26109660574412535
Corregimiento Pichinde,Congreso 2026,Senado,NA,0,PATRIOTAS,1,373,10.0,383.0,0.26109660574412535
Corregimiento Pichinde,Congreso 2026,Senado,NA,4,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,2,2,0.0,2.0,100.0
Corregimiento Pichinde,Presidencia 2026,Presidencia,1V,0,ABELARDO DE LA ESPRIELLA,140,547,12.0,559.0,25.044722719141323
Corregimiento Pichinde,Presidencia 2026,Presidencia,1V,0,CLAUDIA LÓPEZ,5,547,12.0,559.0,0.8944543828264758
Corregimiento Pichinde,Presidencia 2026,Presidencia,1V,0,IVÁN CEPEDA CASTRO,330,547,12.0,559.0,59.0339892665474
Corregimiento Pichinde,Presidencia 2026,Presidencia,1V,0,MIGUEL URIBE LONDOÑO,2,547,12.0,559.0,0.35778175313059035
Corregimiento Pichinde,Presidencia 2026,Presidencia,1V,0,PALOMA VALENCIA LASERNA,48,547,12.0,559.0,8.586762075134168
